,Kingdom,Phylum,Class,Order,Family,Genus,Species,Confidence
0539de9f04f24bf5338c1b7dfa0b2377,k__Bacteria, p__Cyanobacteria, c__Chloroplast,,,,,0.98963152
9beae0f1cf105619b2b5a50d6ce34ebc,k__Bacteria, p__Proteobacteria, c__Deltaproteobacteria, o__Myxococcales, f__Myxococcaceae, g__, s__,0.999127
6d6b53217944081fa5c982e88b64cedc,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Propionibacteriaceae, g__Propionibacterium, s__granulosum,0.999816281
2c3d03621a040564dcde8c52131135f0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacteriales, f__Enterobacteriaceae, g__Providencia, s__,0.993829491
1749fa3ff7a24c4f7b54a752ab8b4846,k__Bacteria,,,,,,,0.998159359
c3f5070af4a6ee195965b454f59c4e51,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Porphyromonadaceae,,,0.985818924
4e9296c31fe7e95a1be8006dcd9c2028,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Xanthomonadales, f__Sinobacteraceae, g__Nevskia, s__,0.999571005
32a872c774ae7c2901cd9129cdecb6e2,k__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Streptococcaceae, g__Streptococcus, s__,0.829200949
67918a99336305e28e5335553b182d3b,k__Bacteria, p__Bacteroidetes, c__Flavobacteriia, o__Flavobacteriales, f__Flavobacteriaceae, g__Capnocytophaga, s__,0.764448188
c1e42c104c08109a6e8e42d898962328,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Corynebacteriaceae, g__Corynebacterium, s__variabile,0.951956224
b90f9a9cc66a2ac02cc55aaa0abeccf3,k__Bacteria, p__TM7, c__TM7-3, o__I025, f__, g__, s__,0.898558182
6b9a400788031a2399cff61c44e9ed11,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__[Paraprevotellaceae], g__[Prevotella], s__,0.999967296
128bd7d46782044c84ae301ca085bcbb,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Corynebacteriaceae, g__Corynebacterium, s__,0.999437684
51c660fa42693f10cac5072250b56544,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rickettsiales, f__mitochondria, g__Abies, s__homolepis,0.990216906
548445eac2638454ae991a345c1e53a0,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Nocardioidaceae, g__Friedmanniella, s__,0.999566904
da6cf57ab126c93ad75df26d1e371527,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Micrococcaceae, g__Rothia, s__mucilaginosa,0.80421556
1efd5c5bade5dd5274802dc5449de7e1,k__Bacteria,,,,,,,0.995099588
